REPORT_DATE,REGION_NAME,PORTFOLIO_NAME,MARKET_DATE,MARKET_HOUR,REALIZED_BOOL,DA_MW,DA_LMP,GENERATION_MW,RT_LMP,PREVIOUS_DAY_FORECAST,PREVIOUS_DAY_FORECAST_VOLUME,PREVIOUS_DAY_FORECAST_PERC10,PREVIOUS_DAY_FORECAST_PERC90
2022-11-01,MISO,Sugar Creek,2022-10-07,17,TRUE,0,58.7,42.274,58.7,2022-10-06T06:00:00Z,50.40500000000,26.881000000000,73.929000000000
2022-11-01,MISO,Sugar Creek,2022-10-07,18,TRUE,0,60.27,39.684,60.27,2022-10-06T06:00:00Z,47.27600000000,24.062000000000,70.489000000000
2022-11-01,MISO,Sugar Creek,2022-10-07,19,TRUE,0,108.37,28.102,108.37,2022-10-06T06:00:00Z,49.59900000000,26.103000000000,73.094000000000
2022-11-01,MISO,Sugar Creek,2022-10-07,20,TRUE,0,65.53,1.113,65.53,2022-10-06T06:00:00Z,51.24900000000,27.545000000000,74.953000000000
2022-11-01,MISO,Sugar Creek,2022-10-07,21,TRUE,0,58.12,0.117,58.12,2022-10-06T06:00:00Z,44.99000000000,21.939000000000,68.042000000000
2022-11-01,MISO,Sugar Creek,2022-10-07,22,TRUE,-55.296,61.97,34.371,61.97,2022-10-06T06:00:00Z,55.39200000000,31.176000000000,79.609000000000
2022-11-01,MISO,Sugar Creek,2022-10-07,23,TRUE,0,58.85,82.062,58.85,2022-10-06T06:00:00Z,50.44900000000,26.743000000000,74.155000000000
2022-11-01,MISO,Sugar Creek,2022-10-07,24,TRUE,0,58.87,51.462,58.87,2022-10-06T06:00:00Z,41.12000000000,18.405000000000,63.834000000000
2022-11-01,MISO,Sugar Creek,2022-10-08,1,TRUE,0,53.62,30.087,53.62,2022-10-07T06:00:00Z,35.09800000000,13.668000000000,56.528000000000
2022-11-01,MISO,Sugar Creek,2022-10-08,2,TRUE,0,63.12,15.787,63.12,2022-10-07T06:00:00Z,25.25300000000,4.845000000000,45.661000000000
2022-11-01,MISO,Sugar Creek,2022-10-08,3,TRUE,0,55.47,10.59,55.47,2022-10-07T06:00:00Z,14.67100000000,0.000000000000,33.976000000000
2022-11-01,MISO,Sugar Creek,2022-10-08,4,TRUE,0,55.05,0.512,55.05,2022-10-07T06:00:00Z,12.38500000000,0.000000000000,31.470000000000
2022-11-01,MISO,Sugar Creek,2022-10-08,5,TRUE,0,50.81,0,50.81,2022-10-07T06:00:00Z,12.94400000000,0.000000000000,32.113000000000
2022-11-01,MISO,Sugar Creek,2022-10-08,6,TRUE,0,50.53,0,50.53,2022-10-07T06:00:00Z,8.22300000000,0.000000000000,26.910000000000
2022-11-01,MISO,Sugar Creek,2022-10-08,7,TRUE,0,50.02,0,50.02,2022-10-07T06:00:00Z,6.44000000000,0.000000000000,24.960000000000
2022-11-01,MISO,Sugar Creek,2022-10-08,8,TRUE,0,50.93,0.121,50.93,2022-10-07T06:00:00Z,8.93500000000,0.000000000000,27.745000000000
2022-11-01,MISO,Sugar Creek,2022-10-08,9,TRUE,0,52.1,1.829,52.1,2022-10-07T06:00:00Z,6.58500000000,0.000000000000,25.166000000000
2022-11-01,MISO,Sugar Creek,2022-10-08,10,TRUE,0,161.05,7.702,161.05,2022-10-07T06:00:00Z,8.49800000000,0.000000000000,27.309000000000
2022-11-01,MISO,Sugar Creek,2022-10-08,11,TRUE,0,49.89,10.809,49.89,2022-10-07T06:00:00Z,13.16400000000,0.000000000000,32.501000000000
2022-11-01,MISO,Sugar Creek,2022-10-08,12,TRUE,0,42.83,15.587,42.83,2022-10-07T06:00:00Z,20.01600000000,0.000000000000,40.116000000000
2022-11-01,MISO,Sugar Creek,2022-10-08,13,TRUE,0,39.69,29.07,39.69,2022-10-07T06:00:00Z,27.33700000000,6.422000000000,48.253000000000
2022-11-01,MISO,Sugar Creek,2022-10-08,14,TRUE,0,33.91,36.399,33.91,2022-10-07T06:00:00Z,34.25300000000,12.563000000000,55.943000000000
2022-11-01,MISO,Sugar Creek,2022-10-08,15,TRUE,0,35.46,41.944,35.46,2022-10-07T06:00:00Z,39.91300000000,17.584000000000,62.243000000000
2022-11-01,MISO,Sugar Creek,2022-10-08,16,TRUE,0,33.44,49.712,33.44,2022-10-07T06:00:00Z,46.46700000000,23.399000000000,69.535000000000
2022-11-01,MISO,Sugar Creek,2022-10-08,17,TRUE,-49.704,37.42,53.741,37.42,2022-10-07T06:00:00Z,49.73200000000,26.281000000000,73.183000000000
2022-11-01,MISO,Sugar Creek,2022-10-08,18,TRUE,-44.4,49.24,40.917,49.24,2022-10-07T06:00:00Z,44.40200000000,21.501000000000,67.303000000000
2022-11-01,MISO,Sugar Creek,2022-10-08,19,TRUE,-42.204,81.21,34.282,81.21,2022-10-07T06:00:00Z,41.48800000000,18.875000000000,64.100000000000
2022-11-01,MISO,Sugar Creek,2022-10-08,20,TRUE,-45.9,64.29,27.379,64.29,2022-10-07T06:00:00Z,45.91700000000,22.794000000000,69.041000000000
2022-11-01,MISO,Sugar Creek,2022-10-08,21,TRUE,-52.596,54.78,35.599,54.78,2022-10-07T06:00:00Z,52.58400000000,28.704000000000,76.463000000000
2022-11-01,MISO,Sugar Creek,2022-10-08,22,TRUE,-64.8,48.76,53.573,48.76,2022-10-07T06:00:00Z,64.76700000000,39.527000000000,90.007000000000
2022-11-01,MISO,Sugar Creek,2022-10-08,23,TRUE,-72,43.44,83.5,43.44,2022-10-07T06:00:00Z,71.98600000000,45.925000000000,98.048000000000
2022-11-01,MISO,Sugar Creek,2022-10-08,24,TRUE,-80.1,43.83,78.113,43.83,2022-10-07T06:00:00Z,80.06400000000,53.085000000000,107.042000000000
2022-11-01,MISO,Sugar Creek,2022-10-09,1,TRUE,-86.796,41.32,83.036,41.32,2022-10-08T06:00:00Z,86.39800000000,59.510000000000,113.285000000000
2022-11-01,MISO,Sugar Creek,2022-10-09,2,TRUE,-89.004,36.49,84.117,36.49,2022-10-08T06:00:00Z,88.99900000000,61.801000000000,116.197000000000
2022-11-01,MISO,Sugar Creek,2022-10-09,3,TRUE,-92.304,28.75,79.205,28.75,2022-10-08T06:00:00Z,92.34900000000,64.759000000000,119.938000000000
2022-11-01,MISO,Sugar Creek,2022-10-09,4,TRUE,-92.604,27.51,80.724,27.51,2022-10-08T06:00:00Z,92.58300000000,64.934000000000,120.232000000000
2022-11-01,MISO,Sugar Creek,2022-10-09,5,TRUE,-91.2,19.54,106.701,19.54,2022-10-08T06:00:00Z,91.22100000000,63.683000000000,118.759000000000
2022-11-01,MISO,Sugar Creek,2022-10-09,6,TRUE,-88.896,23.55,126.345,23.55,2022-10-08T06:00:00Z,88.96000000000,61.630000000000,116.291000000000
2022-11-01,MISO,Sugar Creek,2022-10-09,7,TRUE,-89.304,40.87,146.672,40.87,2022-10-08T06:00:00Z,89.27100000000,61.873000000000,116.669000000000
2022-11-01,MISO,Sugar Creek,2022-10-09,8,TRUE,-86.496,27.27,161.665,27.27,2022-10-08T06:00:00Z,86.51100000000,59.375000000000,113.646000000000
2022-11-01,MISO,Sugar Creek,2022-10-09,9,TRUE,-55.596,37.04,138.556,37.04,2022-10-08T06:00:00Z,55.60000000000,31.752000000000,79.448000000000
2022-11-01,MISO,Sugar Creek,2022-10-09,10,TRUE,-48.204,47.38,95.599,47.38,2022-10-08T06:00:00Z,48.20100000000,25.119000000000,71.283000000000
2022-11-01,MISO,Sugar Creek,2022-10-09,11,TRUE,-54.6,46.99,73.598,46.99,2022-10-08T06:00:00Z,54.65200000000,30.846000000000,78.458000000000
2022-11-01,MISO,Sugar Creek,2022-10-09,12,TRUE,-66.204,45.42,87.672,45.42,2022-10-08T06:00:00Z,66.25500000000,41.168000000000,91.342000000000
2022-11-01,MISO,Sugar Creek,2022-10-09,13,TRUE,-83.004,38.01,117.275,38.01,2022-10-08T06:00:00Z,83.04600000000,56.114000000000,109.977000000000
2022-11-01,MISO,Sugar Creek,2022-10-09,14,TRUE,-89.4,36.53,131.593,36.53,2022-10-08T06:00:00Z,89.42800000000,61.772000000000,117.083000000000
